"","longitude","latitude","eventDate"
"152",-121.630263,37.365056,2022-06-28
"153",-121.6991,37.547134,2022-06-07
"154",-122.427924,37.519808,2022-07-02
"155",-122.583179,37.454895,2022-07-08
"156",-122.483485,37.447221,2022-07-08
"157",-122.562779,37.570991,2022-07-08
"158",-122.482947,37.54018,2022-07-08
"159",-122.485528,37.419498,2022-07-08
"160",-121.827054,36.599743,2022-07-09
"161",-119.496101,37.683618,2022-07-10
"162",-122.383201,37.589546,2022-07-11
"163",-122.55949,38.333945,2022-07-12
"164",-122.433366,37.864091,2022-07-13
"165",-122.352252,37.447018,2022-07-14
"166",-122.323575,37.559178,2022-07-14
"167",-120.468855,38.628757,2022-07-19
"168",-121.859418,36.534975,2022-07-13
"169",-122.225224,37.570301,2022-07-21
"170",-122.328156,37.413163,2022-07-10
"171",-121.115849,36.414973,2022-07-23
"172",-120.895914,35.374946,2022-07-25
"173",-122.547278,37.223879,2022-07-30
"174",-122.418397,37.309523,2022-07-29
"175",-122.207005,37.277106,2022-07-30
"176",-122.40522,37.710654,2022-07-12
"177",-122.213677,37.436208,2022-08-05
"178",-122.444545,38.229922,2022-08-06
"179",-122.545794,38.272154,2022-08-04
"180",-122.486576,38.331295,2022-08-06
"181",-122.935421,38.180992,2022-08-04
"182",-122.575582,38.215918,2022-08-09
"183",-122.49495,37.86068,2022-08-11
"184",-122.922962,38.164666,2022-08-19
"185",-122.422776,37.74264,2022-08-20
"186",-122.25146,37.516228,2022-08-22
"187",-122.483225,37.702552,2022-08-27
"188",-115.614081,30.871867,2022-08-03
"189",-122.479989,38.209912,2022-08-02
"190",-115.604773,30.955151,2022-08-02
"191",-115.790457,30.966623,2022-08-03
"192",-121.872683,36.437416,2022-09-01
"193",-121.616599,37.603591,2022-09-01
"194",-122.072909,37.655586,2022-09-01
"195",-122.529043,37.720352,2022-09-02
"196",-122.413821,37.835616,2022-09-02
"197",-122.134042,38.495991,2022-09-01
"198",-122.42753,37.406426,2022-09-04
"199",-122.240606,37.536002,2022-09-04
"200",-122.347743,37.423531,2022-09-04
"201",-122.517636,37.245727,2022-09-05
"202",-119.963519,34.700203,2022-09-09
"203",-118.843069,34.535454,2022-09-10
"204",-122.561237,37.894032,2022-09-14
"205",-121.771104,37.699443,2022-09-15
"206",-122.184407,37.928701,2022-09-17
"207",-122.18442,37.821088,2022-09-16
"208",-122.080788,37.968639,2022-09-17
"209",-122.052147,37.941724,2022-09-17
"210",-122.066208,37.829293,2022-09-17
"211",-122.142473,37.907926,2022-09-17
"212",-122.707566,38.328052,2022-09-19
"213",-122.13882,37.93431,2022-09-17
